"qid","aid","title","topicid","atime","sortby"
"504587549","05241f760f87ae4930d90901355c04db","「抢甘蔗事件」老人发声，称「太野蛮了，不原谅他们的行为」，该如何避免此类现象再次发生？","19566933","1639650926","essence"
"479538653","add90c230ab08549b66a0d8a2170c1b6","媒体评张哲瀚事件：「伤害民族感情，必须凉凉」，后续进展会如何？","19566933","1639650926","essence"
"49502870","468bb2c0ce71c8aad01442157d29b2e7","有哪些圈子里才知道的小秘密？","19566933","1639650926","essence"
"21982235","19801988d2518c25d5470b4e0ade347e","贫穷有多可怕？","19566933","1639650926","essence"
"489223523","946b76675950e1f599aa328bc9772586","性别对立到最后谁会赢呢？","19566933","1639650926","essence"
"430038207","7ecc331b2342c9aefd3e26997519ecd4","为什么很多穷人家的孩子不去考公务员，他们是不知道公务员的好吗？他们是不是云里雾里不知道什么是好职业？","19566933","1639650926","essence"
"267560525","f7b5280a2723f04aef12c08c92d77fe5","如何看待“富贵不还乡，如锦衣夜行”？","19566933","1639650926","essence"
"51671791","bde2b435a4796912c337940bd40a7487","有哪些你踏入社会才明白的道理？","19566933","1639650927","essence"
"43128864","6c63522584658c95ae5524ea3a467d3a","一个人能无耻到什么地步？","19566933","1639650927","essence"
"506030252","52f243231dddcb4f21ec37d87bc16f4e","江苏无锡一女子深夜上班途中失联至今未找到，其母亲称「女儿进入本不该路过的小区后消失」，具体情况如何？","19566933","1639650927","essence"
"465217042","0","王思聪为什么没能搞定孙一宁？","19566933","1639650927","essence"
"269972263","0","如何当一个被强奸过的女生的男朋友？","19566933","1639650927","essence"
"66144266","0","你有哪些因无意间的举动闯了大祸的经历或故事？","19566933","1639650927","essence"
"505710085","9adee76e53aaf7f2cf7fd0378711e835","媒体报道中高级职业技术院校学生未毕业就被企业抢空，人手 2 到 4 个 offer，如何看待这一现象？","19566933","1639650929","essence"
"446190780","a631945a00ea96296751d2b41922cea1","哪一个瞬间，你发现祖国比想象的更强大？","19566933","1639650929","essence"
"462960220","27ba58674efdfb0f3719d999816eea51","为什么社会一定要毒打年轻人？","19566933","1639650929","essence"
"304102027","1834a51b0fb7d323833408d6f016d015","人生在世有哪些观念是越早建立越好的？","19566933","1639650929","essence"
"270794084","0","为什么有的人待人冷漠无情反而朋友更多？","19566933","1639650929","essence"
"505710085","c3239475688a09f3252cc320cc214ce4","媒体报道中高级职业技术院校学生未毕业就被企业抢空，人手 2 到 4 个 offer，如何看待这一现象？","19566933","1639650929","essence"
"22076226","39e431c8100fe8dbeef4b3e60c8fc0d6","为什么日本人尊敬麦克阿瑟？","19566933","1639650929","essence"
"503147648","911b00eb4dfcbf2475954ebc1312ebfd","今天是国家宪法日，我们的生活离「宪法」有多近？","19566933","1639650930","essence"
"393696749","63cc2cd76bd40fe41e92c4e6d1a95987","如何摆脱中国内卷的局面？","19566933","1639650930","essence"
"464063298","b960cad05afe2d1b674d99288be58848","为什么越来越多的年轻人产生了“不想努力了”的想法？","19566933","1639650930","essence"
"446990478","dbf962ff7d14bbf3e4030587fb89c159","哪一个时刻让你突然感觉到「生活在中国，真好」？","19566933","1639650930","essence"
"264720518","e336c2d50c3b63c9e21d3fd985f02760","法学界为什么有学者一直在为废除死刑而努力？","19566933","1639650930","essence"
"277016222","08190cefa14d2d4f09d7c8e44f6016f9","女友要18w8的彩礼，我该怎么办？","19566933","1639650931","essence"
"440608876","3fde7a04c4cbad05a9ca918a2e353543","为什么现在总鼓励年轻人正面刚？","19566933","1639650931","essence"
"492566440","1434482900fddf6d4aabf9db3c684884","如何反驳女性在与伴侣争吵中说出的“我要的不是xx（彩礼、房子等等），要的只是个态度”？","19566933","1639650931","essence"
"284966366","82bb7cc99bb1d7da10beeefd5db767ce","所以《我不是药神》里究竟是谁错了？","19566933","1639650931","essence"
"62105288","ffac795a6cb54769c0b78e8cc0721a0a","知乎现在有被资本控制吗？","19566933","1639650931","essence"
"316959171","0","女生偷偷有过哪些很渣的想法？","19566933","1639650931","essence"
"447085848","eee1a40ac26662c60156610d39972c46","如何判断一个老外夸中国，是发自真心，还是财富密码？","19566933","1639650931","essence"
"371487334","6028b77d2271dbb2debbc3ad58a9f393","男生真的不懂什么是绿茶吗？","19566933","1639650932","essence"
"398145093","b5606024fe14603218bb1cf89b67c4d4","不久的将来，人口红利消失后会对我国经济发展产生哪些影响？","19566933","1639650932","essence"
"38817519","202064b55c96499c330bf832a91a6f6d","如何看待「如果屠宰场的外墙是玻璃做的，你也会是一个素食者」的言论？","19566933","1639650932","essence"
"457685415","6c86e42a0a8cd3b73ffb2bee0c46e898","如果欧洲很落后，非洲很发达，你会觉得黑人比白人好看吗？","19566933","1639650932","essence"
"265514786","19a13805e24e655eaee38f1851be41a0","你都经历过哪些让你后怕的事情？","19566933","1639650932","essence"
"321962876","5208ba3b2e5f6b2a7f6daf46eb79541a","为什么很多大学生明明每月生活费达到1500，却还过的很拘束？","19566933","1639650932","essence"
"505710085","7d7573475cb502205ab1e6d35804ea01","媒体报道中高级职业技术院校学生未毕业就被企业抢空，人手 2 到 4 个 offer，如何看待这一现象？","19566933","1639650932","essence"
"38178765","85c77102d85333a4b7cc7ec2e093ceb0","有哪些第一眼就感到震撼的图片？","19566933","1639650932","essence"
"49502870","3861b8175c72a6c3b07b4e4d2055329a","有哪些圈子里才知道的小秘密？","19566933","1639650933","essence"
"480339643","8c6af644604e267c607feedbca74d982","如果你的孩子一顿饭要吃30斤肉否则就会饿死，但是家庭条件不富裕，你会怎么办？","19566933","1639650933","essence"
"304889491","d6ed25cb5bb091de1d080b63dc9b0c7b","为什么网吧老板不会赶走蹭睡的人？","19566933","1639650933","essence"
"341877080","6ad91851392f2911f0b1af77f20397c3","成年人之间有哪些容易踩坑的潜规则?","19566933","1639650933","essence"
"463996685","469d8ac524a98e3d0d418e2730c420a3","有哪些你慢慢领悟到了的道理？","19566933","1639650933","essence"
"267560525","610036062a9b1f346768a1e75936a5e4","如何看待“富贵不还乡，如锦衣夜行”？","19566933","1639650933","essence"
"505337323","8bace6e8f3f25c153f916e2bdff4d476","一律师乘高铁「霸铺」被曝光后，以侵犯其名誉权为由起诉央视，如何从法律角度解读？","19566933","1639650934","essence"
