"qid","title","created","NAVICAT_ROWID"
"19568396","你觉得自己牛在哪儿？为什么会这样觉得？","1298878343","1"
"19605307","常见的社会潜规则有哪些？","1303262928","2"
"19916228","社会达尔文主义是错的吗？为什么？","1321334288","3"
"20057894","如何维护长期的恋爱关系？","1328842475","4"
"20112884","自习课等场合下，为什么会产生人们在一片嘈杂时突然同时安静下来的现象？","1331390020","5"
"20137753","有哪些为了健康你一定不吃的食物？","1332511280","6"
"20332553","为什么部分中国男人不注意身材？不锻炼肌肉？不注意牙齿？","1341477365","7"
"20455039","送礼的秘诀是什么？","1346478406","8"
"20668955","草根是否可以逆转命运？怎么做？为什么？","1356143876","9"
"20710418","如果火车票“无座票”是“坐票”的半价，合理吗？","1357985615","10"
"20783044","贫穷会让孩子感到自卑吗？","1361096959","11"
"20785337","贫富人家的孩子在思维方式上有差异吗？","1361186901","12"
"20869340","哪些真相你知道的时候眼泪都要掉下来？","1363833051","13"
"20894671","有哪些十分钟就能学会并终生受用的生活技能？","1364497356","14"
"20900035","感冒经常不吃药硬挺着对身体好吗？","1364650360","15"
"20940082","这个社会中，有真才实学技术的人，是否总体不如「非常会来事」的万金油混得好？","1365681566","16"
"20946994","中国的艾滋病患者是否多，为什么？","1365860698","17"
"20953633","为什么美国中小学生学的数学比我们简单，美国人却还能做出超级牛的东西？","1366035532","18"
"21122371","恶劣天气叫外卖的行为是否恰当？","1369711087","19"
"21195928","怎么评价田朴珺？","1371096968","20"
"21564245","你听过最好听的名字是什么？","1377774939","21"
"21569531","从古至今中国汉奸特别多，原因是什么？","1377854197","22"
"21982235","贫穷有多可怕？","1383833602","23"
"22167811","男女之间没有纯友谊吗？","1385963139","24"
"22249299","非洲为什么这么穷？","1386756655","25"
"22334642","为什么很多灾难片里说「老人孩子先走」？","1387638425","26"
"22588036","哪些工作很陋（low）但赚钱很多？","1390473397","27"
"22633562","不浮躁的社会是什么样的？","1391094942","28"
"23108079","有哪些细节可以凸显涵养及处世态度？","1395304125","29"
"23151228","哪一刻你觉得父母老了？","1395658166","30"
"23171083","有哪些堪称「神转折」的故事？","1395814842","31"
"23189681","钱对个人而言有多重要？","1395939196","32"
"23428025","如何看待年轻人在公共交通工具上不给老人让座的行为？","1397611324","33"
"23817503","为什么现在很多年轻人特别愿意批判社会 只去看社会阴暗面 思想十分偏激?","1400404482","34"
"23957361","如何看待「山东招远麦当劳女子被殴致死」事件？","1401361893","35"
"24024659","如果病人欠费逃跑，医生该怎么办？","1401879140","36"
"24210550","你遇过的最温暖的瞬间是什么？","1403222813","37"
"24269892","现实可以有多美好？","1403679067","38"
"24497541","人贩子为什么不能一律判死刑？","1405437907","39"
"24498794","古代女人为何能容忍丈夫纳妾？","1405448436","40"
"24936740","穷人需要为自身的贫穷负多大责任？","1408613858","41"
"25084350","你为什么支持死刑？","1409646801","42"
"25313416","你是从哪个细节发现女友/老婆出轨的？","1410449984","43"
"25333734","「性工作者」应该被歧视吗？","1410494555","44"
"25442100","你成功地报复过谁？","1411228848","45"
"25684380","你听过哪些让你沉默震惊的真相？","1412338605","46"
"25950263","30 平米的房间中放哪些简单便宜的东西，可以帮助提升情调？","1413002114","47"
"26079197","怎样看待「少年骑车剐蹭劳斯莱斯」这类事情？","1413561320","48"
"26125552","媒体称中国科研经费超过五千亿但成果寥寥，原因何在？","1413860857","49"
"26192324","没文化可以有多可怕？","1414042018","50"
"26802920","为什么有些人不喜欢出身底层的人？","1417039050","51"
"26891297","生孩子对女性健康是利大于弊还是弊大于利？","1417528053","52"
"26995308","如何通过十发子弹管理 100 人?","1418112591","53"
"27006088","为什么现在大学里有很多假贫困生？","1418179780","54"
"27346629","好友间的关系是如何变淡的？","1420098333","55"
